kata,ipa,e_count
membanguni,məmbaŋuni,1
diskriminasi,disʔriminasi,0
antuk,antuʔ,0
elektrokusi,eleʔtrokusi,2
a had,aʔhad,0
patahan,patahan,0
cita,tʃita,0
banci,bantʃi,0
panjar,pandʒar,0
penghukuman,pəŋhukuman,1
titipan,titipan,0
surih,surih,0
lenyeh,leɲeh,2
rumus,rumus,0
mencekih,məntʃəkih,2
pelumas,pəlumas,1
prostaglandin,prostaglandin,0
nyampang,ɲampaŋ,0
antop,antop,0
berkereket,bərkəreket,4
maktub,maʔtub,0
menerkam,mənərkam,2
membakal,məmbakal,1
koleksi,koleʔsi,1
sarapan,sarapan,0
tumbuk,tumbuʔ,0
membuak,məmbuaʔ,1
selekor,səlekor,2
ternak,tərnaʔ,1
sekop,səkop,1
membindu,məmbindu,1
hiduplah,hiduplah,0
terkoyak,tərkojaʔ,1
semeja,səmedʒa,2
pengeliling,pəŋəliliŋ,2
mengayak,məŋajaʔ,1
tiruan,tiruan,0
pembaru,pəmbaru,1
nonaktif,nonaʔtif,0
laporan,laporan,0
dompak,dompaʔ,0
naratif,naratif,0
hospital,hospital,0
sayangnya,sajaŋɲa,0
sendeng,sendeŋ,2
teralpa,təralpa,1
mujarab,mudʒarab,0
mengoper,məŋopər,2
digunakannya,digunakanɲa,0
saad,saʔad,0
perdom,pərdom,1
langkahnya,laŋkahɲa,0
berselubung,bərsəlubuŋ,2
perasaannya,pərasaʔanɲa,1
kental,kəntal,1
pesolek,pəsoleʔ,2
prematur,prematur,1
dekadensi,dekadensi,2
menyaringkan,məɲariŋkan,1
syarat,sjarat,0
mendagel,məndagəl,2
memperlakukan,məmpərlakukan,2
besok,besoʔ,1
album,album,0
mempermisikan,məmpərmisikan,2
keruntuhan,kəruntuhan,1
tebak,təbaʔ,1
subjek,subdʒeʔ,1
mengasak,məŋasaʔ,1
keprak,kəpraʔ,1
peru,pəru,1
dipinjam,dipindʒam,0
supel,supəl,1
kebam,kəbam,1
breksi,breʔsi,1
dibumbui,dibumbui,0
mengekalkan,məŋəkalkan,2
dihela,dihela,1
pembakar,pəmbakar,1
mana,mana,0
cembul,tʃəmbul,1
penyepit,pəɲəpit,2
hamba,hamba,0
dirasa,dirasa,0
olah,olah,0
tisu,tisu,0
selebihnya,sələbihɲa,2
cacah,tʃatʃah,0
belayar,bəlajar,1
potongan,potoŋan,0
dahak,dahaʔ,0
menggergaji,məŋgərgadʒi,2
membantai,məmbantai,1
menhir,menhir,1
melamar,məlamar,1
lantung,lantuŋ,0
pengumuman,pəŋumuman,1
darahku,darahku,0
daster,dastər,1
majalah,madʒalah,0
perongrong,pəroŋroŋ,1
menyelubungkan,məɲəlubuŋkan,2
gurat,gurat,0
seraya,səraja,1
memegalkan,məməgalkan,2
khurafat,ʔhurafat,0
maggi,maggi,0
jago,dʒago,0
granit,granit,0
majlis,madʒlis,0
kertas,kərtas,1
dijamu,didʒamu,0
tingkap,tiŋkap,0
tengguli,təŋguli,1
sendam,səndam,1
hipertensi,hipərtensi,2
cili,tʃili,0
awut,awut,0
sabung,sabuŋ,0
morfologi,morfologi,0
setiar,sətiar,1
jepit,dʒəpit,1
iris,iris,0
sebebas,səbebas,2
pelosok,pəlosoʔ,1
ladam,ladam,0
bercakar,bərtʃakar,1
bersecepat,bərsətʃəpat,3
kanonik,kanoniʔ,0
pengancaman,pəŋantʃaman,1
jampi,dʒampi,0
gemilang,gəmilaŋ,1
gagasan,gagasan,0
bentala,bəntala,1
cat,tʃat,0
bersedih,bərsədih,2
daksina,daʔsina,0
teater,teatər,2
kayau,kajau,0
lampaui,lampaui,0
kuberikan,kubərikan,1
lawak,lawaʔ,0
patrilineal,patrilineal,1
pewartaan,pəwartaʔan,1
demokratik,demoʔratiʔ,1
tadahan,tadahan,0
menjulang,məndʒulaŋ,1
diisi,diʔisi,0
teguhkan,təguhkan,1
mencepol,məntʃəpol,2
lumer,lumer,1
disayangkan,disajaŋkan,0
debap,dəbap,1
terbebang,tərbəbaŋ,2
percaloan,pərtʃaloan,1
menandatangani,mənandataŋani,1
mengsol,meŋsol,1
denawa,dənawa,1
nyata,ɲata,0
berleher,bərleher,3
partisi,partisi,0
penyanderaan,pəɲandəraʔan,2
terbul,tərbul,1
modifikasi,modifikasi,0
puding,pudiŋ,0
pengadilan,pəŋadilan,1
menyaingi,məɲaiŋi,1
ketersediaan,kətərsədiaʔan,3
terbada,tərbada,1
kemaslahatan,kəmaslahatan,1
terjaring,tərdʒariŋ,1
cantum,tʃantum,0
teres,teres,2
agamawi,agamawi,0
timbun,timbun,0
persuasif,persuasif,1
kobe,kobe,1
juri,dʒuri,0
terumbu,tərumbu,1
sandaran,sandaran,0
akusatif,akusatif,0
terdorong,tərdoroŋ,1
sembuang,səmbuaŋ,1
cincin,tʃintʃin,0
bujeter,budʒeter,2
bajau,badʒau,0
mengedrop,məŋədrop,2
buntang,buntaŋ,0
cengkau,tʃəŋkau,1
memelototi,məməlototi,2
terselami,tərsəlami,2
bernegara,bərnəgara,2
diversifikasi,diversifikasi,1
kuk,kuʔ,0
kerong,kəroŋ,1
antarsel,antarsel,1
pencebakan,pəntʃəbakan,2
merampingkan,mərampiŋkan,1
cengkir,tʃəŋkir,1
ditangkap,ditaŋkap,0
mencaci,məntʃatʃi,1
dasarian,dasarian,0
balas,balas,0
pengawalnya,pəŋawalɲa,1
pesakit,pəsakit,1
tegun,təgun,1
ketiding,kətidiŋ,1
menempuh,mənəmpuh,2
ganjil,gandʒil,0
disalahkan,disalahkan,0
nibung,nibuŋ,0
beberan,beberan,2
mantel,mantəl,1
pangkur,paŋkur,0
jisim,dʒisim,0
urgensi,urgensi,1
cadang,tʃadaŋ,0
dipisahkan,dipisahkan,0
nelayan,nəlajan,1
memendam,məməndam,2
menebat,mənəbat,2
kepau,kəpau,1
kontan,kontan,0
setahap,sətahap,1
selukat,səlukat,1
aus,aus,0
halang,halaŋ,0
perkusi,perkusi,1
tabuhan,tabuhan,0
bermastautin,bərmastautin,1
terantuk,tərantuʔ,1
pembajak,pəmbadʒaʔ,1
kepolisian,kəpolisian,1
jeda,dʒəda,1
marga,marga,0
adagio,adagio,0
plastisitas,plastisitas,0
liburan,liburan,0
berkemeja,bərkəmedʒa,3
ketenagaan,kətənagaʔan,2
almukhlis,almuʔhlis,0
perimeter,perimetər,3
fotosintesis,fotosintesis,1
coket,tʃoket,1
berendeng,bərendeŋ,3
ber cakar,bərtʃakar,1
pengajian,pəŋadʒian,1
racau,ratʃau,0
fotokopi,fotokopi,0
destruktif,destruʔtif,1
terkaji,tərkadʒi,1
menumpukkan,mənumpuʔkan,1
tuntut,tuntut,0
sekejap,səkədʒap,2
menggertak,məŋgərtaʔ,2
membabat,məmbabat,1
dewata,dewata,1
prasangka,prasaŋka,0
ak ak,akaʔ,0
kwartir,ʔwartir,0
absen,absen,1
bak,baʔ,0
kelong,keloŋ,1
dentung,dəntuŋ,1
mencernakan,məntʃərnakan,2
berjalin,bərdʒalin,1
hati,hati,0
setang,sətaŋ,1
berdaging,bərdagiŋ,1
mendiami,məndiami,1
fatihah,fatihah,0
generalis,generalis,2
berkeriapan,bərkəriapan,2
aspiran,aspiran,0
mengampelas,məŋampəlas,2
jaluran,dʒaluran,0
bandan,bandan,0
patri,patri,0
mendamprat,məndamprat,1
kandidat,kandidat,0
campung,tʃampuŋ,0
lemparkan,lemparkan,1
digoncang,digontʃaŋ,0
prihatin,prihatin,0
sukar,sukar,0
menenggak,mənəŋgaʔ,2
mengapi,məŋapi,1
penghapusan,pəŋhapusan,1
taksub,taʔsub,0
bercabiran,bərtʃabiran,1
padu,padu,0
berkecambah,bərkətʃambah,2
membuntingi,məmbuntiŋi,1
periskop,periskop,1
bengkayang,bəŋkajaŋ,1
paip,paip,0
pemaju,pəmadʒu,1
pengeritingan,pəŋəritiŋan,2
tertumpah,tərtumpah,1
menindak,mənindaʔ,1
sertai,sərtai,1
apartheid,apartheid,1
duplikator,duplikator,0
industrialis,industrialis,0
terbengang,tərbəŋaŋ,2
surah,surah,0
bertelimpuh,bərtəlimpuh,2
berdekut,bərdəkut,2
menopang,mənopaŋ,1
menggemburkan,məŋgəmburkan,2
apek,apəʔ,1
rol,rol,0
menyengkang,məɲeŋkaŋ,2
da i,daʔi,0
belo,bəlo,1
keluaran,kəluaran,1
kepedulian,kəpədulian,2
versus,versus,1
awal,awal,0
cam,tʃam,0
daka,daka,0
eselon,esəlon,2
tembam,təmbam,1
nekad,nekad,1
talun,talun,0
frasa,frasa,0
tahil,tahil,0
menggendong,məŋgendoŋ,2
menggamit,məŋgamit,1
penagihan,pənagihan,1
bacak,batʃaʔ,0
sepesan,səpəsan,2
tengkek,teŋkeʔ,2
berbaikan,bərbaikan,1
berwarganegara,bərwarganəgara,2
menyapu,məɲapu,1
penagih,pənagih,1
paking,pakiŋ,0
terperap,tərpərap,2
sengon,seŋon,1
pengecoh,pəŋetʃoh,2
sanjungan,sandʒuŋan,0
absorben,absorben,1
gelugur,gəlugur,1
golong,goloŋ,0
kebelakangan,kəbəlakaŋan,2
sekamar,səkamar,1
petsai,petsai,1
mencekokkan,məntʃəkoʔkan,2
infrastruktur,infrastruʔtur,0
dempulan,dəmpulan,1
penyebut,pəɲəbut,2
stok,stoʔ,0
indik,indiʔ,0
bumerang,buməraŋ,1
membinjat,məmbindʒat,1
puntal,puntal,0
reinkarnasi,reinkarnasi,1
briket,briket,1
petentengan,pətenteŋan,3
pemencaran,pəməntʃaran,2
pelopor,pəlopor,1
mengaron,məŋaron,1
penerbang,pənərbaŋ,2
beduk,bəduʔ,1
ketiduran,kətiduran,1
mencahayai,məntʃahajai,1
linggis,liŋgis,0
pendurhaka,pəndurhaka,1
giliran,giliran,0
tradisionalisme,tradisionalismə,1
segelas,səgəlas,2
jawaban,dʒawaban,0
bemo,bemo,1
dentur,dəntur,1
antitoksin,antitoʔsin,0
kamera,kamera,1
arku,arku,0
bukaan,bukaʔan,0
deklinasi,deʔlinasi,1
mencurigai,məntʃurigai,1
buahan,buahan,0
menemukan,mənəmukan,2
sebawah,səbawah,1
mengekor,məŋekor,2
selundat,səlundat,1
menyendal,məɲəndal,2
kecup,kətʃup,1
menyelubungi,məɲəlubuŋi,2
samada,samada,0
tergiur,tərgiur,1
pupuk,pupuʔ,0
kembut,kəmbut,1
sebarang,səbaraŋ,1
nanti,nanti,0
mementung,məməntuŋ,2
cincu,tʃintʃu,0
terdepan,tərdəpan,2
perampokan,pərampokan,1
berpenghasilan,bərpəŋhasilan,2
muafakat,muafakat,0
calon,tʃalon,0
mentilau,məntilau,1
jun,dʒun,0
testamen,testamen,2
sikapnya,sikapɲa,0
kesebatan,kəsebatan,2
adiwarna,adiwarna,0
anggaran,aŋgaran,0
nyaman,ɲaman,0
kepecahan,kəpətʃahan,2
sehaluan,səhaluan,1
berkembar,bərkəmbar,2
menyerbuki,məɲərbuki,2
keli,kəli,1
kebekenan,kəbəkenan,3
peria,pəria,1
serlah,sərlah,1
letus,lətus,1
sergah,sərgah,1
semurni,səmurni,1
pelanggan,pəlaŋgan,1
arak,araʔ,0
ya,ja,0
dikecek,diketʃeʔ,2
pembujangan,pəmbudʒaŋan,1
babad,babad,0
sebit,səbit,1
kaisar,kaisar,0
metalografi,metalografi,1
absolut,absolut,0
dielakkan,dielaʔkan,1
dingkit,diŋkit,0
congget,tʃoŋget,1
menikung,mənikuŋ,1
persoalan,pərsoalan,1
habitat,habitat,0
setuju,sətudʒu,1
tematik,tematiʔ,1
belakang,bəlakaŋ,1
menerjunkan,mənərdʒunkan,2
puput,puput,0
menyisipkan,məɲisipkan,1
basikal,basikal,0
tuyul,tujul,0
tertegun,tərtəgun,2
feminin,feminin,1
berbabil,bərbabil,1
gahara,gahara,0
duplikat,duplikat,0
senilitas,senilitas,1
kebutuhan,kəbutuhan,1
bugil,bugil,0
perahu,pərahu,1
membenci,məmbəntʃi,2
kebiasaan,kəbiasaʔan,1
atributif,atributif,0
belau,bəlau,1
berkeletah,bərkəletah,3
toksin,toʔsin,0
pemidangan,pəmidaŋan,1
baluk,baluʔ,0
cekikan,tʃəkikan,1
preposisi,preposisi,1
lawa,lawa,0
paut,paut,0
tebah,təbah,1
buncang,buntʃaŋ,0
elegi,elegi,2
berbalikan,bərbalikan,1
adati,adati,0
penyelundupan,pəɲəlundupan,2
protokol,protokol,0
menyematkan,məɲəmatkan,2
resensi,resensi,2
watak,wataʔ,0
menekang,mənəkaŋ,2
ukir,ukir,0
memekis,məməkis,2
membonceng,məmbontʃeŋ,2
seburuk,səburuʔ,1
serupih,sərupih,1
dikenal,dikənal,1
arbei,arbei,1
berbaik,bərbaiʔ,1
keceriaan,kətʃəriaʔan,2
waran,waran,0
elektrokardiogram,eleʔtrokardiogram,2
pemakainya,pəmakaiɲa,1
kelumun,kəlumun,1
membiawak,məmbiawaʔ,1
singkatnya,siŋkatɲa,0
pembendung,pəmbənduŋ,2
penyegelan,pəɲegəlan,3
kiblat,kiblat,0
galvanis,galvanis,0
akupunkturis,akupunʔturis,0
kobra,kobra,0
bedak,bədaʔ,1
seganda,səganda,1
lensa,lensa,1
kecrek,kətʃreʔ,2
tarawih,tarawih,0
bersempang,bərsempaŋ,2
cukupan,tʃukupan,0
bahagia,bahagia,0
kromosom,ʔromosom,0
terowongan,tərowoŋan,1
penari,pənari,1
membanding,məmbandiŋ,1
wahi,wahi,0
gergasi,gərgasi,1
keramikus,keramikus,1
pelesir,pələsir,2
padang,padaŋ,0
mengesahkan,məŋəsahkan,2
bermunculan,bərmuntʃulan,1
tataran,tataran,0
perkaitan,pərkaitan,1
senigai,sənigai,1
rupa,rupa,0
balau,balau,0
dahanam,dahanam,0
sahabat,sahabat,0
tercedera,tərtʃədəra,3
antem,antəm,1
selimutnya,səlimutɲa,1
memperhatikan,məmpərhatikan,2
berkelumun,bərkəlumun,2
peniupan,pəniupan,1
menyelewengkan,məɲəleweŋkan,4
lebuh,ləbuh,1
pemencilan,pəməntʃilan,2
berangsur,bəraŋsur,1
sisir,sisir,0
bertaut,bərtaut,1
keutuhan,kəutuhan,1
memperbubungkan,məmpərbubuŋkan,2
merampas,mərampas,1
beruk,bəruʔ,1
penyelidik,pəɲəlidiʔ,2
buah,buah,0
dadaisme,dadaismə,1
memudahkan,məmudahkan,1
sesal,səsal,1
mendamaikan,məndamaikan,1
menyembam,məɲəmbam,2
membarut,məmbarut,1
sependekap,səpəndəkap,3
jamak,dʒamaʔ,0
bajaj,badʒadʒ,0
intervensi,intərvensi,2
da ayah,daʔajah,0
persen,pərsen,2
ciprat,tʃiprat,0
kabarnya,kabarɲa,0
magnesium,magnesium,1
paling,paliŋ,0
sangga,saŋga,0
menetes,mənetes,3
berpaham,bərpaham,1
kad,kad,0
siram,siram,0
memperbaiki,məmpərbaiki,2
kewaspadaan,kəwaspadaʔan,1
takaran,takaran,0
tenahak,tənahaʔ,1
belukut,bəlukut,1
menyekrup,məɲəʔrup,2
belunjur,bəlundʒur,1
rotan,rotan,0
prinsip,prinsip,0
tipis,tipis,0
pinta,pinta,0
maklumat,maʔlumat,0
kentang,kəntaŋ,1
membantah,məmbantah,1
pemborgolan,pəmborgolan,1
soalkan,soalkan,0
perawakan,pərawakan,1
bertangkup,bərtaŋkup,1
metari,mətari,1
kosen,kosen,1
asli,asli,0
bermeterai,bərmətərai,3
tebakan,təbakan,1
menyerum,məɲerum,2
tuban,tuban,0
tercoang,tərtʃoaŋ,1
yoga,joga,0
pembentangan,pəmbəntaŋan,2
vaselin,vasəlin,1
cang,tʃaŋ,0
mena,məna,1
cinta kasih,tʃintakasih,0
berada,bərada,1
bengkawang,bəŋkawaŋ,1
mengalunkan,məŋalunkan,1
pendinding,pəndindiŋ,1
tercerai,tərtʃərai,2
kancah,kantʃah,0
lonjak,londʒaʔ,0
kelunak,kəlunaʔ,1
mogok,mogoʔ,0
tatkala,tatkala,0
hidupnya,hidupɲa,0
institusi,institusi,0
memelotot,məməlotot,2
pandir,pandir,0
juara,dʒuara,0
menjangkaui,məndʒaŋkaui,1
sakit,sakit,0
penguasa,pəŋuasa,1
tatah,tatah,0
beremas,bərəmas,2
tumpuk,tumpuʔ,0
mengazab,məŋazab,1
pujuk,pudʒuʔ,0
tengas,təŋas,1
mentaus,məntaus,1
himpunan,himpunan,0
sekelas,səkəlas,2
bertempel,bərtempel,3
menanding,mənandiŋ,1
mengkerang,məŋkəraŋ,2
kembangkan,kəmbaŋkan,1
teokrasi,teoʔrasi,1
buruknya,buruʔɲa,0
mencergaskan,məntʃərgaskan,2
menjalin,məndʒalin,1
budayawan,budajawan,0
luluh,luluh,0
menempuhkan,mənəmpuhkan,2
gabardin,gabardin,0
proteksi,proteʔsi,1
berpatah,bərpatah,1
diselidiki,disəlidiki,1
obeng,obeŋ,1
berkhidmat,bərʔhidmat,1
berbudaya,bərbudaja,1
menciprat,məntʃiprat,1
mempunyai,məmpuɲai,1
mengasakan,məŋasakan,1
sejari,sədʒari,1
dulu,dulu,0
semerdanta,səmərdanta,2
sekelebat,səkəlebat,3
antik,antiʔ,0
menyejuk,məɲədʒuʔ,2
tersimpul,tərsimpul,1
meni,meni,1
gasak,gasaʔ,0
melayani,məlajani,1
duratif,duratif,0
berembang,bərəmbaŋ,2
indra,indra,0
ingin,iŋin,0
tiga,tiga,0
menggembalakan,məŋgəmbalakan,2
pecatur,pətʃatur,1
geografi,geografi,1
cekalan,tʃəkalan,1
pengentalan,pəŋəntalan,2
sekampung,səkampuŋ,1
nabiah,nabiah,0
asih,asih,0
kecekungan,kətʃəkuŋan,2
kematiannya,kəmatianɲa,1
najib,nadʒib,0
hujah,hudʒah,0
masanya,masaɲa,0
kemendalam,kəməndalam,2
diperlakukan,dipərlakukan,1
natal,natal,0
reduksi,reduʔsi,1
pascapanen,pastʃapanen,1
kemalaman,kəmalaman,1
menabur,mənabur,1
pembatik,pəmbatiʔ,1
mengahlikan,məŋahlikan,1
menggembleng,məŋgəmbleŋ,3
benur,bənur,1
biduanda,biduanda,0
irigasi,irigasi,0
sekira,səkira,1
bermenantukan,bərmənantukan,2
bonet,bonet,1
berusia,bərusia,1
bercambang,bərtʃambaŋ,1
hias,hias,0
argumentatif,argumentatif,1
terajun,təradʒun,1
sekularisme,sekularismə,2
sebegitu,səbəgitu,2
pengagungan,pəŋaguŋan,1
guci,gutʃi,0
pengaburan,pəŋaburan,1
penodong,pənodoŋ,1
kesentosaan,kəsəntosaʔan,2
mengangkut,məŋaŋkut,1
penyemaian,pəɲəmaian,2
kesabaran,kəsabaran,1
kesimbukan,kəsimbukan,1
berbatin,bərbatin,1
depus,dəpus,1
barkas,barkas,0
mau,mau,0
kecimpring,kətʃimpriŋ,1
berkhotbah,bərʔhotbah,1
mengacu,məŋatʃu,1
panah,panah,0
demah,dəmah,1
interaktif,intəraʔtif,1
pembalikan,pəmbalikan,1
sekakmat,səkaʔmat,1
terjalin,tərdʒalin,1
bayu,baju,0
berduli,bərduli,1
caping,tʃapiŋ,0
cing,tʃiŋ,0
menipis,mənipis,1
kobok,koboʔ,0
penyamaan,pəɲamaʔan,1
pesong,pesoŋ,1
konsisten,konsisten,1
mempersatukan,məmpərsatukan,2
pembalas,pəmbalas,1
tekam,təkam,1
pek,peʔ,1
pemilih,pəmilih,1
menendang,mənəndaŋ,2
koma,koma,0
dupak,dupaʔ,0
kukus,kukus,0
berdenyut,bərdəɲut,2
belekok,bələkoʔ,2
bersidahulu,bərsidahulu,1
nasihat,nasihat,0
anutan,anutan,0
julur,dʒulur,0
berdengus,bərdəŋus,2
kuiz,kuiz,0
popor,popor,0
pembedahan,pəmbədahan,2
kelabat,kəlabat,1
sebanding,səbandiŋ,1
perkampungan,pərkampuŋan,1
terasing,tərasiŋ,1
anduhan,anduhan,0
sebelum,səbəlum,2
mengekarkan,məŋəkarkan,2
mendepangkan,məndəpaŋkan,2
sugesti,sugesti,1
penyunat,pəɲunat,1
anjur,andʒur,0
menertibkan,mənərtibkan,2
sendiri,səndiri,1
mencekoki,məntʃəkoki,2
berkesot,bərkesot,2
danda,danda,0
gol,gol,0
pembalutan,pəmbalutan,1
mengabjadkan,məŋabdʒadkan,1
butala,butala,0
nyanyuk,ɲaɲuʔ,0
prima,prima,0
kelukup,kəlukup,1
pegawainya,pəgawaiɲa,1
kerak,kəraʔ,1
sekarang,səkaraŋ,1
lihat,lihat,0
kemalangan,kəmalaŋan,1
kekawin,kəkawin,1
seruit,səruit,1
bersengkarut,bərsəŋkarut,2
pengetaman,pəŋətaman,2
menyuluh,məɲuluh,1
transplantasi,transplantasi,0
menasihati,mənasihati,1
afirmatif,afirmatif,0
pensiunan,pensiunan,1
profesor,profesor,1
deritaan,dəritaʔan,1
menutupi,mənutupi,1
butut,butut,0
mengelamini,məŋəlamini,2
bagaimana,bagaimana,0
barli,barli,0
baptis,baptis,0
mementaskan,məməntaskan,2
blong,bloŋ,0
lentera,ləntera,2
kecapaian,kətʃapaian,1
berayun,bərajun,1
sos,sos,0
mudah,mudah,0
ahlulbait,ahlulbait,0
diingini,diʔiŋini,0
lukisan,lukisan,0
kafe,kafe,1
penerjunan,pənərdʒunan,2
alung,aluŋ,0
berkeriau,bərkəriau,2
keangkaraan,kəaŋkaraʔan,1
kempal,kəmpal,1
syirik,sjiriʔ,0
berkerabat,bərkərabat,2
telek,təleʔ,2
tengkuk,təŋkuʔ,1
sisip,sisip,0
diputuskan,diputuskan,0
terkorup,tərkorup,1
siong,sioŋ,0
dedemit,dədəmit,2
membelakangi,məmbəlakaŋi,2
mendoa,məndoa,1
buktikan,buʔtikan,0
sekul,səkul,1
kenop,kənop,1
sampanye,sampaɲə,1
ukupan,ukupan,0
mengembalikan,məŋəmbalikan,2
terlanjur,tərlandʒur,1
menimpali,mənimpali,1
hebah,hebah,1
rabuk,rabuʔ,0
retakan,rətakan,1
menjelajahi,məndʒəladʒahi,2
usul,usul,0
mengenakan,məŋənakan,2
pencacat,pəntʃatʃat,1
kontrakan,kontrakan,0
kandangnya,kandaŋɲa,0
bergaun,bərgaun,1
kelut,kəlut,1
angker,aŋkər,1
andan,andan,0
adonan,adonan,0
peleton,pələton,2
bertingkap,bərtiŋkap,1
banyu,baɲu,0
mengadabi,məŋadabi,1
herder,herdər,2
benteh,benteh,2
belasah,bəlasah,1
teladan,təladan,1
kinematika,kinematika,1
wahyu,wahju,0
menumbuhkan,mənumbuhkan,1
cengal,tʃəŋal,1
membutakan,məmbutakan,1
aluvium,aluvium,0
meremajakan,mərəmadʒakan,2
madi,madi,0
bajumu,badʒumu,0
pejaka,pədʒaka,1
musisi,musisi,0
menentangkan,mənəntaŋkan,2
meracang,məratʃaŋ,1
baru,baru,0
kakus,kakus,0
pelintiran,pəlintiran,1
istimewa,istimewa,1
membelengkokkan,məmbəleŋkoʔkan,3
pengerat,pəŋərat,2
tuduh,tuduh,0
engkol,eŋkol,1
mengampuni,məŋampuni,1
mendecur,məndətʃur,2
kalanya,kalaɲa,0
berkipas,bərkipas,1
kekekalan,kəkəkalan,2
menyekutui,məɲəkutui,2
lisut,lisut,0
dampal,dampal,0
patung,patuŋ,0
seutas,səutas,1
fit,fit,0
kerepas,kərəpas,2
ketik,kətiʔ,1
kepengapan,kəpəŋapan,2
ikatan,ikatan,0
mandek,mandəʔ,1
angka,aŋka,0
penenangan,pənənaŋan,2
pergudangan,pərgudaŋan,1
selimpang,səlimpaŋ,1
pulas,pulas,0
apam,apam,0
elak,elaʔ,1
gelar,gəlar,1
cengir,tʃəŋir,1
teteguk,tətəguʔ,2
menjamu,məndʒamu,1
olehnya,olehɲa,1
penghadang,pəŋhadaŋ,1
diserap,disərap,1
kesrakat,kəsrakat,1
pengasahan,pəŋasahan,1
berujul,bərudʒul,1
spekulator,spekulator,1
timpal,timpal,0
mengerumuni,məŋərumuni,2
gombal,gombal,0
sundal,sundal,0
menderu,məndəru,2
lonte,lonte,1
penukul,pənukul,1
degupan,dəgupan,1
meneratak,mənərataʔ,2
kerukunan,kərukunan,1
germo,gərmo,1
menitahkan,mənitahkan,1
kerasnya,kərasɲa,1
belandong,bəlandoŋ,1
penjahat,pəndʒahat,1
menyerbukan,məɲərbukan,2
tepukan,təpukan,1
deteriorasi,deteriorasi,2
merang,məraŋ,1
antitesis,antitesis,1
jadwal,dʒadwal,0
membusakan,məmbusakan,1
rangkum,raŋkum,0
tersentralisasi,tərsentralisasi,2
berdasar,bərdasar,1
mencoba,məntʃoba,1
berkereta,bərkəreta,3
