kata,ipa
mambo,mambo
tegak,təgaʔ
cahar,tʃahar
kebejatan,kəbədʒatan
belelang,bəlelaŋ
bermesra,bərməsra
temu,təmu
pejalan,pədʒalan
mengertak,məŋərtaʔ
asparaga,asparaga
pecinan,pətʃinan
sejingkat,sədʒiŋkat
habisi,habisi
pelik,pəliʔ
segan,səgan
berkelibang,bərkəlibaŋ
penambang,pənambaŋ
bacut,batʃut
menang,mənaŋ
kilat,kilat
pencedok,pəntʃedoʔ
kerlap,kərlap
berfikir,bərfikir
perangkap,pəraŋkap
melelapkan,mələlapkan
pengguguran,pəŋguguran
perbuahan,pərbuahan
bayas,bajas
peluasan,pəluasan
menambatkan,mənambatkan
pengaburan,pəŋaburan
fasik,fasiʔ
dentaman,dəntaman
bertetesan,bərtetesan
debap,dəbap
kelang,kelaŋ
penyantun,pəɲantun
berlistrik,bərlistriʔ
afirmatif,afirmatif
belacak,bəlatʃaʔ
ekuilibrium,ekuilibrium
kedaluwarsa,kədaluwarsa
menganggapnya,məŋaŋgapɲa
keakuan,kəakuan
pentar,pəntar
menggenggam,məŋgəŋgam
resepsionis,rəsepsionis
simpul,simpul
ketinggalan,kətiŋgalan
rusuknya,rusuʔɲa
congor,tʃoŋor
bius,bius
mencupak,məntʃupaʔ
cendana,tʃəndana
peraduan,pəraduan
setempat,sətəmpat
alamas,alamas
gerilya,gərilja
akademi,akademi
bernas,bərnas
meraga,məraga
kuncung,kuntʃuŋ
tanah,tanah
tersembunyi,tərsəmbuɲi
borokan,borokan
jilat,dʒilat
temalang,təmalaŋ
pengasapan,pəŋasapan
berafiliasi,bərafiliasi
selinap,səlinap
memperkatakan,məmpərkatakan
cergas,tʃərgas
keluan,kəluan
tengadah,təŋadah
gaharu,gaharu
benguk,bəŋuʔ
egois,egois
moneter,moneter
luluh,luluh
terdayuh,tərdajuh
membestel,məmbəstel
membongkahi,məmboŋkahi
kebacut,kəbatʃut
pergelangan,pərgəlaŋan
boyas,bojas
berlainan,bərlainan
kekejaman,kəkədʒaman
senawat,sənawat
anfas,anfas
menjerit,məndʒərit
berkomplot,bərkomplot
mencepol,məntʃəpol
danau,danau
semeleh,səmeleh
memperselangi,məmpərsəlaŋi
transparan,transparan
celingukan,tʃəliŋukan
mendalangi,məndalaŋi
analis,analis
dipancung,dipantʃuŋ
andalas,andalas
pembenahan,pəmbənahan
ajak,adʒaʔ
meneropong,mənəropoŋ
berawas,bərawas
meratap,məratap
interim,intərim
kelurut,kəlurut
dalu,dalu
bermaya,bərmaja
bajik,badʒiʔ
berakhirnya,bəraʔhirɲa
anulir,anulir
berkaca,bərkatʃa
ukuran,ukuran
mencuru,məntʃuru
menular,mənular
memersekoti,məmərsəkoti
abdas,abdas
penyerutan,pəɲərutan
seksualitas,seʔsualitas
ibumu,ibumu
barometer,barometər
sumpal,sumpal
pendet,pendet
bergereja,bərgəredʒa
optimal,optimal
bersentosa,bərsəntosa
salur,salur
bakdahu,baʔdahu
tersimpan,tərsimpan
pintas,pintas
resam,rəsam
berhampiran,bərhampiran
bercinta,bərtʃinta
petamari,pətamari
disukai,disukai
bingkainya,biŋkaiɲa
kailnya,kailɲa
sentana,səntana
amtenar,amtənar
sendalan,səndalan
menyelakan,məɲelakan
bawaan,bawaʔan
bujangan,budʒaŋan
wangsa,waŋsa
energi,energi
pembarut,pəmbarut
naskah,naskah
menganggul,məŋaŋgul
berakar,bərakar
tetelo,tetelo
menak,menaʔ
abuhan,abuhan
memperluas,məmpərluas
okulasi,okulasi
ada,ada
ketekunan,kətəkunan
mendompak,məndompaʔ
adukan,adukan
bang,baŋ
video,video
berbudaya,bərbudaja
kiranya,kiraɲa
berkendara,bərkəndara
kejelekan,kədʒəlekan
menggegar,məŋgəgar
barau,barau
tangkal,taŋkal
tebang,təbaŋ
merancakkan,mərantʃaʔkan
terjadi,tərdʒadi
cua,tʃua
boksen,boʔsən
takluk,taʔluʔ
selit,səlit
pelacuran,pəlatʃuran
menyekang,məɲəkaŋ
tercakup,tərtʃakup
tikus,tikus
kebisaan,kəbisaʔan
pengaktifan,pəŋaʔtifan
mengekspor,məŋeʔspor
integrasi,integrasi
pengisian,pəŋisian
maung,mauŋ
gayung,gajuŋ
dugas,dugas
batak,bataʔ
kemampuan,kəmampuan
dacin,datʃin
buruh,buruh
membubu,məmbubu
didaki,didaki
kenohong,kənohoŋ
mendangir,məndaŋir
bengong,bəŋoŋ
dadap,dadap
enaknya,enaʔɲa
ayan,ajan
perancangan,pərantʃaŋan
lingkar,liŋkar
sekesel,səkesel
deklamator,deʔlamator
berbatasan,bərbatasan
dasasila,dasasila
brevet,brəvet
seadil,səadil
roh,roh
limpah,limpah
bunglai,buŋlai
hiris,hiris
keliti,kəliti
bentukan,bəntukan
tahi,tahi
statistik,statistiʔ
berjahit,bərdʒahit
desiliter,desilitər
tedeng,tedeŋ
berkerudung,bərkəruduŋ
aneh,aneh
bersemboyan,bərsəmbojan
pelacak,pəlatʃaʔ
teknikus,teʔnikus
bisu,bisu
mini,mini
kelonggaran,kəloŋgaran
bijaksana,bidʒaʔsana
kekalahan,kəkalahan
instrumental,instrumental
kesentengan,kəsenteŋan
simbol,simbol
lesen,lesən
hayatnya,hajatɲa
dibasuh,dibasuh
ketidak samaan,kətidak-samaʔan
sentiong,səntioŋ
penudung,pənuduŋ
debil,dəbil
selumbari,səlumbari
bungsu,buŋsu
mencanai,məntʃanai
ketir,kətir
tebuk,təbuʔ
keduanya,kəduaɲa
penyisihan,pəɲisihan
berkekurangan,bərkəkuraŋan
ketukan,kətukan
pembalutan,pəmbalutan
tepos,tepos
pendek,pendeʔ
diborgol,diborgol
kesucian,kəsutʃian
kasihnya,kasihɲa
sepatu,səpatu
pemarip,pəmarip
pelawan,pəlawan
nasihat,nasihat
cewek,tʃeweʔ
tarik,tariʔ
pelikan,pelikan
rehat,rehat
dajal,dadʒal
larutan,larutan
mendendeng,məndendeŋ
sediakala,sədiakala
kuberikan,kubərikan
tergamam,tərgamam
kalian,kalian
kapal,kapal
ajuk,adʒuʔ
mendesain,məndesain
pemain,pəmain
deklarasi,deʔlarasi
partainya,partaiɲa
mengeker,məŋeker
kaunter,kauntər
teruna,təruna
memancar,məmantʃar
bertoleransi,bərtoləransi
menumbuk,mənumbuʔ
kavaleri,kavaləri
tuntutan,tuntutan
capuk,tʃapuʔ
restrukturisasi,restruʔturisasi
membelalangkan,məmbəlalaŋkan
berkonsep,bərkonsep
menawan,mənawan
kancil,kantʃil
timpa,timpa
sungu,suŋu
rukun,rukun
kenyataan,kəɲataʔan
mengatak,məŋataʔ
membonggoli,məmboŋgoli
menyengam,məɲəŋam
mengintegrasikan,məŋintegrasikan
seringing,səriŋiŋ
terhandal,tərhandal
sandera,sandəra
sapinya,sapiɲa
merampingkan,mərampiŋkan
didiami,didiami
menggabungkan,məŋgabuŋkan
menghinggapi,məŋhiŋgapi
pertapa,pərtapa
ku,-ku
cantol,tʃantol
arya,arja
ngilu,ŋilu
berselera,bərsəlera
sele,səle
bebal,bəbal
agraria,agraria
pencoleng,pəntʃoleŋ
menegang,mənəgaŋ
balerina,balerina
kemenakan,kəmənakan
katamu,katamu
moyang,mojaŋ
bertepas,bərtəpas
menyelundupi,məɲəlundupi
berasah,bərasah
marga,marga
penebar,pənebar
memperanakkan,məmpəranaʔkan
osaka,osaka
peperiksaan,pəpəriʔsaʔan
senggulung,səŋguluŋ
membaptis,məmbaptis
dipersembahkan,dipərsəmbahkan
congkong,tʃoŋkoŋ
kemangi,kəmaŋi
memburaskan,məmburaskan
perimbangan,pərimbaŋan
naratif,naratif
kepompong,kəpompoŋ
sindrom,sindrom
pengetip,pəŋətip
kilir,kilir
culak,tʃulaʔ
terkatakan,tərkatakan
memperselukkan,məmpərsəluʔkan
melangit,məlaŋit
menepam,mənəpam
libur,libur
mengharuskan,məŋharuskan
kebanyakan,kəbaɲakan
tenang,tənaŋ
diperindah,dipərindah
telekap,tələkap
menyerikatkan,məɲərikatkan
gadungan,gaduŋan
tembung,təmbuŋ
terselap,tərsəlap
mengurang,məŋuraŋ
bersep,bərsep
benar,bənar
menanami,mənanami
pemalsuan,pəmalsuan
bersahaja,bərsahadʒa
papar,papar
mengazamkan,məŋazamkan
keausan,kəausan
sirap,sirap
kedampingan,kədampiŋan
peniaga,pəniaga
membatukkan,məmbatuʔkan
acik,atʃiʔ
atomistis,atomistis
pancit,pantʃit
memperlihatkan,məmpərlihatkan
stenografi,stenografi
menobatkan,mənobatkan
keadaannya,kəadaʔanɲa
selembana,sələmbana
loba,loba
pembaptis,pəmbaptis
sinkronisasi,sinʔronisasi
kais,kais
tukal,tukal
lengket,leŋket
balu,balu
walafiat,walafiat
jelas,dʒəlas
mengacung,məŋatʃuŋ
artisyok,artisjoʔ
syariah,sjariah
penyakitnya,pəɲakitɲa
sarapan,sarapan
dikecap,dikətʃap
menyepertikan,məɲəpərtikan
menggari,məŋgari
angler,aŋlər
betot,bətot
belati,bəlati
berosot,bərosot
berbiras,bərbiras
berayun,bərajun
sepekan,səpəkan
merem,mərəm
keberangkatan,kəbəraŋkatan
kebengisan,kəbəŋisan
lakukanlah,lakukanlah
berselesa,bərsəlesa
berisi,bərisi
merapat,mərapat
pelipat,pəlipat
murid,murid
menyejahterakan,məɲədʒahtərakan
radio isotop,radio-isotop
futuristis,futuristis
khatulistiwa,ʔhatulistiwa
tulisan,tulisan
membukit,məmbukit
setruk,sətruʔ
pentol,pəntol
mengungguli,məŋuŋguli
martir,martir
dabih,dabih
menyengkang,məɲeŋkaŋ
diciptakan,ditʃiptakan
mencukai,məntʃukai
ketujuh,kətudʒuh
pengeksposan,pəŋeʔsposan
penghasilan,pəŋhasilan
cus,tʃus
entri,entri
percintaan,pərtʃintaʔan
editor,editor
menerusi,mənərusi
pekung,pəkuŋ
seluloid,seluloid
penyelenggara,pəɲələŋgara
meningkatnya,məniŋkatɲa
memurkai,məmurkai
masih,masih
bertera,bərtəra
mengundi,məŋundi
bergumpal,bərgumpal
tergiring,tərgiriŋ
teragung,təraguŋ
mencemplungkan,məntʃəmpluŋkan
mereguk,mərəguʔ
berfalsafah,bərfalsafah
pungut,puŋut
memakmurkan,məmaʔmurkan
selapanan,səlapanan
menyeberangkan,məɲəbəraŋkan
penemuan,pənəmuan
kelendara,kələndara
derang,dəraŋ
mengoleskan,məŋoleskan
spiral,spiral
setrapan,sətrapan
jemu,dʒəmu
apabila,apabila
keprihatinan,kəprihatinan
prasarana,prasarana
berpentingan,bərpəntiŋan
pailit,pailit
ciut,tʃiut
segi tiga,səgi-tiga
curu,tʃuru
bergembala,bərgəmbala
senada,sənada
kelurusan,kəlurusan
terpenggal,tərpəŋgal
seagama,səagama
lawa,lawa
begawan,bəgawan
pecatur,pətʃatur
ketiak,kətiaʔ
mengungkit,məŋuŋkit
berkepala,bərkəpala
tingkatkan,tiŋkatkan
tentara,təntara
colak,tʃolaʔ
diskriminasi,disʔriminasi
dudus,dudus
perahan,pərahan
menggugah,məŋgugah
decap,dətʃap
celaan,tʃəlaʔan
bencana,bəntʃana
membuta,məmbuta
teolog,teolog
timbus,timbus
terkandas,tərkandas
berkesinambungan,bərkəsinambuŋan
biadab,biadab
aluvium,aluvium
bertamasya,bərtamasja
fadil,fadil
jahit,dʒahit
rangka,raŋka
modernisasi,modernisasi
angkanya,aŋkaɲa
lepa,lepa
mencarter,məntʃartər
layaran,lajaran
tukar,tukar
bentan,bəntan
menyerok,məɲeroʔ
mikrofon,miʔrofon
membusukkan,məmbusuʔkan
jara,dʒara
elevator,elevator
bermusyawarah,bərmusjawarah
karyawisata,karjawisata
secukupnya,sətʃukupɲa
perbahasa,pərbahasa
warisan,warisan
keseronokan,kəsəronokan
sembiang,səmbiaŋ
asungan,asuŋan
penologi,penologi
alon,alon
bergelumang,bərgəlumaŋ
antikristus,antiʔristus
kendati,kəndati
dianggap,diaŋgap
biawan,biawan
serundeng,sərundeŋ
kisut,kisut
eling,eliŋ
membarutkan,məmbarutkan
seratah,səratah
tangkis,taŋkis
pelitur,pəlitur
bawon,bawon
rujukan,rudʒukan
sidang,sidaŋ
angsur,aŋsur
memperdua,məmpərdua
buntingan,buntiŋan
coak,tʃoaʔ
bangkut,baŋkut
alergen,alergen
merakit,mərakit
lalat,lalat
menghilir,məŋhilir
mengeropeng,məŋəropeŋ
dogmatisme,dogmatismə
calung,tʃaluŋ
terabar,tərabar
berbogel,bərbogel
mengangankan,məŋaŋankan
imam,imam
selir,səlir
meneriaki,mənəriaki
denyit,dəɲit
insulin,insulin
kemenangan,kəmənaŋan
perbalahan,pərbalahan
tongsan,toŋsan
berbait,bərbait
bimbing,bimbiŋ
sempitan,səmpitan
perhambaan,pərhambaʔan
setolop,sətolop
melunasi,məlunasi
pentan,pentan
melukut,məlukut
bincacak,bintʃatʃaʔ
merangkaikan,məraŋkaikan
mencerna,məntʃərna
belalai,bəlalai
melengkungkan,mələŋkuŋkan
jip,dʒip
sempuras,səmpuras
tembam,təmbam
habislah,habislah
ceriwis,tʃəriwis
anglong,aŋloŋ
tenis,tenis
terkelopak,tərkəlopaʔ
kendal,kəndal
senting,səntiŋ
alfa,alfa
mendudu,məndudu
memperbulat,məmpərbulat
becek,betʃeʔ
sedihnya,sədihɲa
pemeriksa,pəməriʔsa
berkeras,bərkəras
intimidasi,intimidasi
cepat,tʃəpat
afiat,afiat
egat,əgat
rempah,rəmpah
pernah,pərnah
progresif,progresif
mengabdikan,məŋabdikan
menangkis,mənaŋkis
meniru,məniru
bagan,bagan
segala,səgala
kontribusi,kontribusi
belu,bəlu
beres,beres
membatu,məmbatu
mengapresiasi,məŋapresiasi
diberkati,dibərkati
mekanisme,mekanismə
petarangan,pətaraŋan
mengerukut,məŋərukut
parade,paradə
arzak,arzaʔ
kejaksaan,kədʒaʔsaʔan
mencuat,məntʃuat
berdaya guna,bərdaja-guna
aga,aga
layarnya,lajarɲa
ibadah,ibadah
sistematika,sistematika
apek,apəʔ
bertulang,bərtulaŋ
memburakan,məmburakan
kekas,kəkas
korupsi,korupsi
berjangkit,bərdʒaŋkit
mengamukkan,məŋamuʔkan
kepungan,kəpuŋan
kepai,kəpai
perubatan,pərubatan
penyerap,pəɲərap
perawangan,pərawaŋan
porno,porno
meter,metər
tandus,tandus
keriau,kəriau
pencegahan,pəntʃəgahan
gaung,gauŋ
hadrat,hadrat
bogor,bogor
menaburi,mənaburi
bila,bila
jerjak,dʒərdʒaʔ
kecemburuan,kətʃəmburuan
berpenggalan,bərpəŋgalan
keserampangan,kəsərampaŋan
kempaan,kəmpaʔan
didapat,didapat
kelahi,kəlahi
bis,bis
antrean,antrean
tebas,təbas
bidik,bidiʔ
temuan,təmuan
berakhir,bəraʔhir
menggilai,məŋgilai
mengguncang,məŋguntʃaŋ
pengekspor,pəŋeʔspor
rembas,rəmbas
berdegum,bərdəgum
tembakul,təmbakul
memulangkan,məmulaŋkan
dewan,dewan
sungut,suŋut
hasil,hasil
apartemen,apartəmen
pendapatannya,pəndapatanɲa
kecekungan,kətʃəkuŋan
persaudaraan,pərsaudaraʔan
bersendiri,bərsəndiri
encok,entʃoʔ
tergeletak,tərgəletaʔ
dikeluarkan,dikəluarkan
diancam,diantʃam
wisuda,wisuda
mahatahu,mahatahu
dibantu,dibantu
mengayomi,məŋajomi
raja,radʒa
sepinggang,səpiŋgaŋ
gegas,gəgas
kepentingan,kəpəntiŋan
tercungap,tərtʃuŋap
kecongkakan,kətʃoŋkakan
final,final
perantara,pərantara
pelanggaran,pəlaŋgaran
pemasukan,pəmasukan
dipertanggungjawabkan,dipərtaŋguŋdʒawabkan
pembebek,pəmbebeʔ
andar,andar
memperdamaikan,məmpərdamaikan
bermuda,bərmuda
setengah,sətəŋah
adunan,adunan
sesak,səsaʔ
berpesiar,bərpəsiar
kerkup,kərkup
capek,tʃapeʔ
terindil,tərindil
membingungkan,məmbiŋuŋkan
kiraan,kiraʔan
menjajah,məndʒadʒah
ayat,ajat
berdekatan,bərdəkatan
naif,naif
puputan,puputan
memelet,məmelet
permukaan,pərmukaʔan
menipis,mənipis
seni,səni
berharta,bərharta
ramping,rampiŋ
gimnastik,gimnastiʔ
meledaknya,mələdaʔɲa
puluh,puluh
balui,balui
membalas,məmbalas
atar,atar
veto,veto
el,el
lapis,lapis
bertangkai,bərtaŋkai
individualistis,individualistis
filter,filtər
telampung,təlampuŋ
pemenuhan,pəmənuhan
mengagan,məŋagan
bertempias,bərtəmpias
kemerduan,kəmərduan
kecanggihan,kətʃaŋgihan
penggoda,pəŋgoda
kenek,kəneʔ
pendamba,pəndamba
peribadatan,pəribadatan
reman,reman
merta,mərta
pemancing,pəmantʃiŋ
sengih,səŋih
genting,gəntiŋ
berkeris,bərkəris
mewah,mewah
aktor,aʔtor
derana,dərana
waspada,waspada
makrokosmos,maʔrokosmos
menggelapkan,məŋgəlapkan
pembangunan,pəmbaŋunan
makara,makara
terpukau,tərpukau
membuas,məmbuas
baba,baba
bercangkung,bərtʃaŋkuŋ
cabai,tʃabai
pengisar,pəŋisar
asalnya,asalɲa
daur,daur
jantung,dʒantuŋ
ciprat,tʃiprat
mengagah,məŋagah
berliku,bərliku
pembungkam,pəmbuŋkam
debun,dəbun
baguk,baguʔ
kesaksian,kəsaʔsian
kotor,kotor
caba,tʃaba
pengibar,pəŋibar
diabetes,diabetes
kepruk,kəpruʔ
kepercayaannya,kəpərtʃajaʔanɲa
geri,gəri
ungka,uŋka
pupil,pupil
perleng,pərleŋ
ekonom,ekonom
sedikit,sədikit
gabung,gabuŋ
cerita,tʃərita
kepek,kəpeʔ
magnetik,magnetiʔ
membaktikan,məmbaʔtikan
persatuan,pərsatuan
penentang,pənəntaŋ
bindeng,bindəŋ
diluar,diluar
lemari,ləmari
ektohormon,eʔtohormon
persada,pərsada
kegoyahan,kəgojahan
teduhan,təduhan
tunggak,tuŋgaʔ
cahang,tʃahaŋ
penuturan,pənuturan
tersangkut,tərsaŋkut
serata,sərata
berujung,bərudʒuŋ
dong,doŋ
konsumen,konsumen
bersentuhan,bərsəntuhan
mempertontonkan,məmpərtontonkan
kesibukan,kəsibukan
dikeluarkannya,dikəluarkanɲa
motorisasi,motorisasi
menjabarkan,məndʒabarkan
